key,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SETC,0.576862,0.551881,0.535463,0.529233,0.424738,0.419296,0.370066,0.363996,0.361993,0.373813,0.360452,0.386832,0.401000,0.408016,0.437991,0.434004,0.441009,0.434996,0.396004,0.383992,0.382027,0.382996,0.397004,0.392996,0.422992,0.491005,0.468995,0.361996,0.349003
SETD,1.651267,1.632522,1.629496,1.629878,1.412429,1.429234,1.352896,1.340987,1.130977,1.156799,1.137042,1.203026,1.167000,1.172047,1.154977,1.149011,1.153023,1.167988,1.167012,1.164977,1.123079,1.127989,1.077011,1.098989,1.037979,1.104011,1.232988,1.018990,1.039010
SETE,2.627811,2.515129,2.461322,2.423226,2.308313,2.455299,2.473123,2.469975,2.300954,2.284300,1.990584,2.067827,2.492000,2.563103,2.425951,2.497025,2.213044,2.299977,2.379024,2.493950,2.352165,2.414976,1.701017,1.597984,2.382952,2.511025,2.793972,2.795972,2.754028
SETF,0.652060,0.645369,0.636930,0.636687,0.562954,0.567460,0.473363,0.495995,0.484990,0.488988,0.470815,0.488096,0.527000,0.526021,0.560989,0.563006,0.567011,0.564994,0.530005,0.528989,0.538038,0.542995,0.573006,0.564994,0.520990,0.495005,0.539995,0.494995,0.505005
SETG,1.378287,1.353063,1.406470,1.415975,1.221751,1.181285,1.067073,1.028990,1.086978,1.070923,1.119830,1.139229,1.187000,1.227049,1.180976,1.189012,1.164023,1.121989,1.135011,1.085978,1.153081,1.112989,1.274013,1.104989,0.776984,0.785008,1.070989,1.467985,1.485015
SEMF,0.842630,0.849434,0.877034,0.878708,0.967514,0.986756,1.093148,1.367986,1.320974,0.297030,0.255151,0.262276,1.530000,1.554062,1.636967,1.635016,1.628033,1.695983,1.746017,1.791964,1.691118,1.649984,1.569016,1.514985,1.421972,1.340013,1.369986,1.346987,1.354014
SEMG,,0.135708,0.133615,0.130551,0.115012,0.110871,0.118341,0.114999,0.135997,0.136391,0.114413,0.114429,0.081000,0.080003,0.078998,0.079001,0.076002,0.075999,0.061001,0.059999,0.058004,0.056999,0.074001,0.065999,0.102998,0.115001,0.117999,0.179998,0.135001
SEMC,2.892549,2.868976,2.880249,2.888188,2.808717,2.830246,2.756940,2.766972,2.814944,2.846030,2.658837,2.736175,2.796000,2.830113,3.004940,3.010030,3.003060,3.031970,3.131031,3.162937,3.284230,3.254967,3.643036,3.661963,3.584928,3.611036,3.629964,3.701963,3.426034
SEMD,1.374167,1.361105,1.392405,1.430035,1.365012,1.462495,1.493301,1.515985,1.575968,1.646797,1.485344,1.564541,1.619000,1.703068,1.731965,1.781018,2.081042,2.158978,2.459025,2.511950,2.577180,2.620974,2.378024,2.418976,2.572949,2.273023,2.304977,2.251977,2.618026
SEME,0.257528,0.254328,0.249146,0.253068,0.299637,0.317496,0.338976,0.365996,0.372993,0.389978,0.543715,0.524552,0.487000,0.461018,0.608988,0.658007,0.763015,0.752992,0.979010,1.011980,1.063074,1.098989,1.170012,1.208988,0.803984,0.770008,0.579994,0.792992,0.890009
SERA,1.816084,1.757172,1.698815,1.652976,1.659605,1.650977,1.741014,1.690983,1.782964,1.736714,1.866046,1.845045,1.894000,1.816073,1.923962,1.897019,1.867037,1.846982,1.856019,1.845963,1.853130,1.816982,1.518015,1.536985,1.470971,1.266013,1.189988,1.059989,1.053011
SERB,0.683993,0.669495,0.664055,0.660789,0.717312,0.715625,0.595716,0.599994,0.639987,0.652657,0.731028,0.802017,1.145000,1.141046,1.100978,1.099011,1.053021,1.057989,0.962010,0.954981,1.017071,1.021990,1.203012,1.191988,1.057979,1.205012,1.054989,1.162988,1.158012
SERC,0.507844,0.484529,0.458107,0.445882,0.633575,0.609793,0.645860,0.615994,0.681986,0.680946,0.593328,0.610627,0.613000,0.601024,0.463991,0.461005,0.412008,0.399996,0.446004,0.430991,0.502035,0.504995,0.597006,0.603994,0.563989,0.764008,0.647994,0.479995,0.526005
SERD,0.272979,0.260359,0.253165,0.245034,0.243140,0.232830,0.226653,0.211998,0.180996,0.169731,0.166051,0.163036,0.167000,0.158006,0.114998,0.109001,0.121002,0.119999,0.089001,0.088998,0.075005,0.072999,0.070001,0.070999,0.050999,0.061001,0.076999,0.074999,0.064001
SERE,0.613946,0.560928,0.509343,0.480026,0.501412,0.452557,0.459323,0.424996,0.402992,0.384926,0.374627,0.358477,0.485000,0.461018,0.472991,0.446004,0.399008,0.380996,0.403004,0.365993,0.355025,0.323997,0.374004,0.355996,0.383992,0.440004,0.355996,0.365996,0.380004
