,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,grpf,slack,dmw,minwage,transfer_share,h,h_disc,cov_benchmark,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1975-07-01,16.099463341456264,14.935174613969693,16.099463341456264,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.415294364462188,,4.177753783613605,,1.6841689769940764,,8.29732739391597,,100.0,100.0,ES
1975-10-01,13.712104426396055,10.127507073161723,13.712104426396055,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.274656376848961,,1.0932025064575495,,-0.5625519504529066,,8.510087545490661,,100.0,100.0,ES
1976-01-01,13.645171044853344,15.9155812078561,13.645171044853344,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.148759310449838,,0.11908861064395992,,-0.5035882655964947,,8.855521678327403,,100.0,100.0,ES
1976-04-01,16.941667224593626,26.78840600338699,16.941667224593626,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.707340893278596,,2.9474151043799566,,2.23432633131503,,9.468894827698648,,100.0,100.0,ES
1976-07-01,16.07636116022477,11.473950356494278,16.07636116022477,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,14.98114494666783,,1.6610667957625829,,1.0952162135569399,,9.744442025644624,,100.0,100.0,ES
1976-10-01,18.020836604780488,17.905408851384585,18.020836604780488,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15.589083278290362,,3.746180227931527,,2.431753326490126,,10.190547714097107,,100.0,100.0,ES
1977-01-01,20.334123847082573,25.168730177064447,20.334123847082573,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,16.538091392048806,,6.1853645366327346,,3.7960324550337674,,10.852358410504154,,100.0,100.0,ES
1977-04-01,19.00823225916577,21.484839651719767,19.00823225916577,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.032119565472197,,4.300891365887173,,1.9761126936935725,,11.451199914306578,,100.0,100.0,ES
1977-07-01,24.090023219139802,31.8011141963904,24.090023219139802,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.44370029620572,,9.108878272471971,,5.6463229229340826,,12.398770395114287,,100.0,100.0,ES
1977-10-01,23.92644330268867,17.25108918558007,23.92644330268867,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19.54024889750231,,8.33736002439831,,4.386194405186362,,12.945199558684237,,100.0,100.0,ES
1978-01-01,21.088172322753262,13.815646257322811,21.088172322753262,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19.8498335825525,,4.550080930704457,,1.2383387402007635,,13.400126465243527,,100.0,100.0,ES
1978-04-01,19.973920183068515,17.027831092980783,19.973920183068515,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19.874650902655702,,2.941800617596318,,0.09926928041281258,,13.982879974509531,,100.0,100.0,ES
1978-07-01,16.598422354863196,18.29912288356912,16.598422354863196,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,19.219405193097202,,-1.8452779413425233,,-2.6209828382340064,,14.637423894486968,,100.0,100.0,ES
1978-10-01,15.057117916751617,11.085871433133754,15.057117916751617,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,18.386947737828084,,-4.483130980750692,,-3.3298298210764674,,15.048769215372607,,100.0,100.0,ES
1979-01-01,15.207614991303364,14.417634555529801,15.207614991303364,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,17.75108118852314,,-4.642218591249135,,-2.543466197219777,,15.601082369831103,,100.0,100.0,ES
