,gp,gp_q,pi_yoy,gw,gw_q,gp_core,grpe,slack,slack_vu,gpty,dmw,minwage,transfer_share,h,h_disc,cov_automatic,cov_benchmark,cov_minwage,cov_public,lambda,wedge,scheme,populist,election,pistar,catchup,catchup_bb,real_wage,pigap,lvl_wage,lvl_price,lvl_minwage,lvl_benefit,lvl_handout,country
1970-07-01,6.6503900861603515,4.740256022042999,6.6503900861603515,13.064687711619705,15.36119102126463,,,,,,0.0,,,,,0.0,0.3789833911297682,0.0,0.0,0.11369501733893045,0.0,0.0,0.0,0.0,5.277875892053642,-3.9020810527060235,1.9722470673432886,79.06250028422777,1.3725141941067092,3.517284756429379,7.9838761464764625,,136.6995407869385,100.0,UK
1970-10-01,7.462024100361075,8.251413670203078,7.462024100361075,13.520922381385336,12.301980541018054,,,,,,0.0,,,,,0.0,0.38015878810001824,0.0,0.0,0.11404763643000547,0.0,0.0,0.0,0.0,5.714705533715129,-3.800243724125238,2.7193012738142013,80.07514200193148,1.747318566645946,3.6271393048055214,8.150282264617791,,136.6995407869385,100.0,UK
1971-01-01,8.285564905015086,10.685986928550939,8.285564905015086,12.546691686460854,9.066743277594291,8.59735079332955,,,,,0.0,,,,,0.0,0.38133418507026834,0.0,0.0,0.11440025552108049,0.0,0.0,0.0,0.0,6.228877407975121,-2.285816332277605,3.519808266224471,79.67033108919235,2.056687497039965,3.7102940249182357,8.370951247370424,,136.6995407869385,100.0,UK
1971-04-01,9.443446823275536,14.09613067230513,9.443446823275536,11.675298748188467,9.971280152876894,9.188586383064568,,,,,0.0,,,,,0.0,0.38248402993246944,0.0,0.0,0.11474520897974083,0.0,0.0,0.0,0.0,6.871791291035204,-0.321356748603975,4.5086994797485715,78.6391184593353,2.5716555322403325,3.8039474335629575,8.671205764886308,,146.42127881097332,100.0,UK
1971-07-01,9.625713007785786,5.4693207600839955,9.625713007785786,10.174302924359147,9.357207725947347,8.997990679698775,,,,,0.0,,,,,0.0,0.38364665084869504,0.0,0.0,0.1150939952546085,0.0,0.0,0.0,0.0,7.42257563438532,-0.587119889533426,4.347837115732143,79.61109020080117,2.203137373400465,3.8939822364911874,8.790584067031174,,146.42127881097332,100.0,UK
1971-10-01,8.74921017839485,4.7454023526393385,8.74921017839485,8.727546142237808,6.514953412532698,8.10171729964182,,,,,0.0,,,,,0.0,0.3848220478189451,0.0,0.0,0.11544661434568351,0.0,0.0,0.0,0.0,7.687902543187226,-0.2923860282025714,3.0345046446797213,80.05347796577449,1.0613076352076245,3.9579243298056848,8.895492271946361,,146.42127881097332,100.0,UK
1972-01-01,7.651278293190122,6.294259387732026,7.651278293190122,9.953410151834685,13.970199315981802,7.048664483281097,,,,,0.0,,,,,0.0,0.3859974447891951,0.0,0.0,0.11579923343675853,0.0,0.0,0.0,0.0,7.680577693187805,-1.5060656544427786,1.4224008852150014,81.97246294783692,-0.02929939999768294,4.098599077869287,9.036575719935751,,146.42127881097332,100.0,UK
1972-04-01,5.991269455023884,7.456095319640177,5.991269455023884,10.918168861838407,13.830314992891779,5.825667507359178,,,,,0.0,,,,,0.0,0.3871600657054207,0.0,0.0,0.11614801971162621,0.0,0.0,0.0,0.0,7.342716045555021,-2.262667590630926,-0.8805218360113196,83.5660178661498,-1.351446590531137,4.242789757171856,9.206599362384502,,160.90468443861704,100.0,UK
1972-07-01,6.260764585143486,6.547301280562401,6.260764585143486,11.99306324378524,13.656785253734682,6.00502247521062,,,,,0.0,,,,,0.0,0.3883226866216463,0.0,0.0,0.1164968059864939,0.0,0.0,0.0,0.0,7.126325753472714,-3.1213009518243666,-1.1618110492418348,85.34338885944292,-0.8655611683292284,4.390148167311366,9.358535383296152,,160.90468443861704,100.0,UK
1972-10-01,7.480487676407499,9.624294717695392,7.480487676407499,13.61290736445393,12.994329895207457,7.523032025473864,,0.07708333333333339,,3.4871630893481775,0.0,,,,,0.0,0.38949808359189636,0.0,0.0,0.1168494250775689,0.0,0.0,0.0,0.0,7.197158138059671,-2.953953621469296,-0.2074148667797271,86.1858976538209,0.2833295383478278,4.535107565963035,9.586439414663626,,160.90468443861704,100.0,UK
1973-01-01,7.627878134667521,6.883821220772113,7.627878134667521,12.288348342510158,8.671963228206714,7.297928403323439,,0.3055555555555558,,4.413065795779669,0.0,,,,,0.0,0.3906734805621464,0.0,0.0,0.11720204416864391,0.0,0.0,0.0,0.0,7.283302137381241,-2.403866063743493,-0.05269955852028474,86.6329331556796,0.3445759972862792,4.634501817133548,9.752845532804958,,160.90468443861704,100.0,UK
1973-04-01,8.903944349876491,12.56036018047606,8.903944349876491,12.132003824709248,13.204936921688137,8.471667188494525,,0.42500000000000027,,4.656711534433204,0.0,,,,,0.08136986301369864,0.3918233254243475,0.0,0.0,0.19077987433963303,0.0,0.0,0.0,0.0,7.607430579880291,-1.7052035246735358,1.56122830432147,86.79407734098255,1.2965137699962002,4.7900509721146785,10.063952623243098,,172.21364499718817,100.0,UK
1973-07-01,8.800946139451238,6.1353084388613865,8.800946139451238,12.497585814210987,15.119113211741642,8.608945790616884,,0.5378787878787881,,4.714992379222828,0.0,,,,,0.16364383561643836,0.3929859463405731,0.0,0.0,0.26517523595696646,0.0,0.0,0.0,0.0,7.84613369179448,-3.0974526681316092,1.6746203859785238,89.04002853420265,0.9548124476567574,4.974569507723241,10.21950616846217,,172.21364499718817,100.0,UK
1973-10-01,9.770867333037714,13.503979492041296,9.770867333037714,12.476323388785326,12.909280193504813,8.650090817907996,,0.615277777777778,,4.562451896336755,0.0,,,,,0.2468219178082192,0.39416134331082314,0.0,0.0,0.3403881290206442,0.0,0.0,0.0,0.0,8.231080420043128,-1.8611541147317183,2.5737091949780426,88.89135370956852,1.539786912994586,5.137733537650324,10.57040602628193,,172.21364499718817,100.0,UK
1974-01-01,12.107467786477333,16.23022303453059,12.107467786477333,9.210133964728584,-4.392794468020256,10.145963579309836,,0.44487179487179507,,3.7370349619086585,0.0,,,,,0.33,0.39533674028107324,0.0,0.0,0.41560102208432204,0.0,0.0,0.0,0.0,9.00635789332997,4.367935834025772,4.824165649096091,83.73559933393084,3.1011098931473633,5.081619703630717,11.00812646747978,,172.21364499718817,100.0,UK
1974-04-01,14.745273114313084,23.111581491819067,14.745273114313084,13.033315261480638,28.497662108696353,12.866546704654791,,0.3821428571428571,,3.014367550988994,0.0,,,,,0.24863013698630138,0.39648658514327434,0.0,0.0,0.34271309883065354,0.0,0.0,0.0,0.0,10.154140937526593,3.4833906087495876,7.137842534432793,85.08211948815016,4.591132176786491,5.456863670219432,11.66289836712284,,188.08587034255115,100.0,UK
